date,discharge
2006-01-01,5.0
2006-01-02,5.027472527472527
2006-01-03,5.054945054945055
2006-01-04,5.082417582417582
2006-01-05,5.1098901098901095
2006-01-06,5.137362637362638
2006-01-07,5.164835164835165
2006-01-08,5.1923076923076925
2006-01-09,5.21978021978022
2006-01-10,5.247252747252747
2006-01-11,5.274725274725275
2006-01-12,5.302197802197802
2006-01-13,5.329670329670329
2006-01-14,5.357142857142857
2006-01-15,5.384615384615385
2006-01-16,5.412087912087912
2006-01-17,5.43956043956044
2006-01-18,5.467032967032967
2006-01-19,5.4945054945054945
2006-01-20,5.521978021978022
2006-01-21,5.549450549450549
2006-01-22,5.576923076923077
2006-01-23,5.604395604395604
2006-01-24,5.631868131868131
2006-01-25,5.65934065934066
2006-01-26,5.686813186813187
2006-01-27,5.714285714285714
2006-01-28,5.741758241758242
2006-01-29,5.769230769230769
2006-01-30,5.7967032967032965
2006-01-31,5.824175824175824
2006-02-01,5.851648351648351
2006-02-02,5.8791208791208796
2006-02-03,5.906593406593407
2006-02-04,5.934065934065934
2006-02-05,5.961538461538462
2006-02-06,5.989010989010989
2006-02-07,6.016483516483516
2006-02-08,6.043956043956044
2006-02-09,6.071428571428571
2006-02-10,6.0989010989010985
2006-02-11,6.126373626373626
2006-02-12,6.153846153846153
2006-02-13,6.181318681318682
2006-02-14,6.208791208791209
2006-02-15,6.236263736263736
2006-02-16,6.263736263736264
2006-02-17,6.291208791208791
2006-02-18,6.318681318681318
2006-02-19,6.346153846153846
2006-02-20,6.373626373626374
2006-02-21,6.4010989010989015
2006-02-22,6.428571428571429
2006-02-23,6.456043956043956
2006-02-24,6.483516483516484
2006-02-25,6.510989010989011
2006-02-26,6.538461538461538
2006-02-27,6.565934065934066
2006-02-28,6.593406593406593
2006-03-01,6.6208791208791204
2006-03-02,6.648351648351648
2006-03-03,6.675824175824176
2006-03-04,6.7032967032967035
2006-03-05,6.730769230769231
2006-03-06,6.758241758241758
2006-03-07,6.785714285714286
2006-03-08,6.813186813186813
2006-03-09,6.84065934065934
2006-03-10,6.868131868131869
2006-03-11,6.895604395604396
2006-03-12,6.923076923076923
